skill,category,normalized_skill,resume_match_weight,aliases,skill_type,parent_skill
bacteria,Domain-Specific / Other,Bacteria,2,,hard,Domain-Specific / Other
bacterial,Domain-Specific / Other,Bacterial,2,,hard,Domain-Specific / Other
bacteriology,Domain-Specific / Other,Bacteriology,2,,hard,Domain-Specific / Other
baking,Domain-Specific / Other,Baking,2,,hard,Domain-Specific / Other
bankruptcy,Domain-Specific / Other,Bankruptcy,2,,hard,Domain-Specific / Other
bartending,Domain-Specific / Other,Bartending,2,,hard,Domain-Specific / Other
baseline,Domain-Specific / Other,Baseline,2,,hard,Domain-Specific / Other
batch,Domain-Specific / Other,Batch,2,,hard,Domain-Specific / Other
batching,Domain-Specific / Other,Batching,2,,hard,Domain-Specific / Other
benchmarking,Domain-Specific / Other,Benchmarking,2,,hard,Domain-Specific / Other
benchmarks,Domain-Specific / Other,Benchmarks,2,,hard,Domain-Specific / Other
binary,Domain-Specific / Other,Binary,2,,hard,Domain-Specific / Other
bioanalysis,Domain-Specific / Other,Bioanalysis,2,,hard,Domain-Specific / Other
biobased,Domain-Specific / Other,Biobased,2,,hard,Domain-Specific / Other
bioburden,Domain-Specific / Other,Bioburden,2,,hard,Domain-Specific / Other
biocatalysis,Domain-Specific / Other,Biocatalysis,2,,hard,Domain-Specific / Other
biochemical,Domain-Specific / Other,Biochemical,2,,hard,Domain-Specific / Other
biochemistry,Domain-Specific / Other,Biochemistry,2,,hard,Domain-Specific / Other
bioinformatics,Domain-Specific / Other,Bioinformatics,2,,hard,Domain-Specific / Other
biological,Domain-Specific / Other,Biological,2,,hard,Domain-Specific / Other
biologics,Domain-Specific / Other,Biologics,2,,hard,Domain-Specific / Other
biology,Domain-Specific / Other,Biology,2,,hard,Domain-Specific / Other
biomarker,Domain-Specific / Other,Biomarker,2,,hard,Domain-Specific / Other
biomarkers,Domain-Specific / Other,Biomarkers,2,,hard,Domain-Specific / Other
biomass,Domain-Specific / Other,Biomass,2,,hard,Domain-Specific / Other
biomechanics,Domain-Specific / Other,Biomechanics,2,,hard,Domain-Specific / Other
biopharmaceutical,Domain-Specific / Other,Biopharmaceutical,2,,hard,Domain-Specific / Other
biophysics,Domain-Specific / Other,Biophysics,2,,hard,Domain-Specific / Other
biostatistics,Domain-Specific / Other,Biostatistics,2,,hard,Domain-Specific / Other
biotech,Domain-Specific / Other,Biotech,2,,hard,Domain-Specific / Other
biotherapeutics,Domain-Specific / Other,Biotherapeutics,2,,hard,Domain-Specific / Other
blackline,Domain-Specific / Other,Blackline,2,,hard,Domain-Specific / Other
bloomberg,Domain-Specific / Other,Bloomberg,2,,hard,Domain-Specific / Other
blueprints,Domain-Specific / Other,Blueprints,2,,hard,Domain-Specific / Other
boarding,Domain-Specific / Other,Boarding,2,,hard,Domain-Specific / Other
bpm,Domain-Specific / Other,Bpm,2,,hard,Domain-Specific / Other
bpo,Domain-Specific / Other,Bpo,2,,hard,Domain-Specific / Other
branding,Domain-Specific / Other,Branding,2,,hard,Domain-Specific / Other
brazing,Domain-Specific / Other,Brazing,2,,hard,Domain-Specific / Other
buildroot,Domain-Specific / Other,Buildroot,2,,hard,Domain-Specific / Other
bundle,Domain-Specific / Other,Bundle,2,,hard,Domain-Specific / Other
calling,Domain-Specific / Other,Calling,2,,hard,Domain-Specific / Other
cardiac,Domain-Specific / Other,Cardiac,2,,hard,Domain-Specific / Other
cardiopulmonary,Domain-Specific / Other,Cardiopulmonary,2,,hard,Domain-Specific / Other
cardiovascular,Domain-Specific / Other,Cardiovascular,2,,hard,Domain-Specific / Other
caregiving,Domain-Specific / Other,Caregiving,2,,hard,Domain-Specific / Other
carpentry,Domain-Specific / Other,Carpentry,2,,hard,Domain-Specific / Other
casas,Domain-Specific / Other,Casas,2,,hard,Domain-Specific / Other
case,Domain-Specific / Other,Case,2,,hard,Domain-Specific / Other
cataloging,Domain-Specific / Other,Cataloging,2,,hard,Domain-Specific / Other
catering,Domain-Specific / Other,Catering,2,,hard,Domain-Specific / Other
certified,Domain-Specific / Other,Certified,2,,hard,Domain-Specific / Other
chemical,Domain-Specific / Other,Chemical,2,,hard,Domain-Specific / Other
chemicals,Domain-Specific / Other,Chemicals,2,,hard,Domain-Specific / Other
chemistry,Domain-Specific / Other,Chemistry,2,,hard,Domain-Specific / Other
chromatography,Domain-Specific / Other,Chromatography,2,,hard,Domain-Specific / Other
claims,Domain-Specific / Other,Claims,2,,hard,Domain-Specific / Other
classification,Domain-Specific / Other,Classification,2,,hard,Domain-Specific / Other
client,Domain-Specific / Other,Client,2,,hard,Domain-Specific / Other
clustering,Domain-Specific / Other,Clustering,2,,hard,Domain-Specific / Other
cobol,Domain-Specific / Other,Cobol,2,,hard,Domain-Specific / Other
coding,Domain-Specific / Other,Coding,2,,hard,Domain-Specific / Other
cognitive,Domain-Specific / Other,Cognitive,2,,hard,Domain-Specific / Other
collaborate,Domain-Specific / Other,Collaborate,2,,hard,Domain-Specific / Other
collaborative,Domain-Specific / Other,Collaborative,2,,hard,Domain-Specific / Other
collection,Domain-Specific / Other,Collection,2,,hard,Domain-Specific / Other
compensation,Domain-Specific / Other,Compensation,2,,hard,Domain-Specific / Other
compliant,Domain-Specific / Other,Compliant,2,,hard,Domain-Specific / Other
computation,Domain-Specific / Other,Computation,2,,hard,Domain-Specific / Other
computational,Domain-Specific / Other,Computational,2,,hard,Domain-Specific / Other
computeraided,Domain-Specific / Other,Computeraided,2,,hard,Domain-Specific / Other
computerized,Domain-Specific / Other,Computerized,2,,hard,Domain-Specific / Other
computers,Domain-Specific / Other,Computers,2,,hard,Domain-Specific / Other
computing,Domain-Specific / Other,Computing,2,,hard,Domain-Specific / Other
concrete,Domain-Specific / Other,Concrete,2,,hard,Domain-Specific / Other
condenser,Domain-Specific / Other,Condenser,2,,hard,Domain-Specific / Other
configure,Domain-Specific / Other,Configure,2,,hard,Domain-Specific / Other
construction,Domain-Specific / Other,Construction,2,,hard,Domain-Specific / Other
constructive,Domain-Specific / Other,Constructive,2,,hard,Domain-Specific / Other
consulting,Domain-Specific / Other,Consulting,2,,hard,Domain-Specific / Other
control,Domain-Specific / Other,Control,2,,hard,Domain-Specific / Other
controller,Domain-Specific / Other,Controller,2,,hard,Domain-Specific / Other
controllers,Domain-Specific / Other,Controllers,2,,hard,Domain-Specific / Other
controls,Domain-Specific / Other,Controls,2,,hard,Domain-Specific / Other
conveyor,Domain-Specific / Other,Conveyor,2,,hard,Domain-Specific / Other
coordinate,Domain-Specific / Other,Coordinate,2,,hard,Domain-Specific / Other
coordinating,Domain-Specific / Other,Coordinating,2,,hard,Domain-Specific / Other
coordination,Domain-Specific / Other,Coordination,2,,hard,Domain-Specific / Other
counseling,Domain-Specific / Other,Counseling,2,,hard,Domain-Specific / Other
creative,Domain-Specific / Other,Creative,2,,hard,Domain-Specific / Other
credentials,Domain-Specific / Other,Credentials,2,,hard,Domain-Specific / Other
critical,Domain-Specific / Other,Critical,2,,hard,Domain-Specific / Other
crm,Domain-Specific / Other,Crm,2,,hard,Domain-Specific / Other
crossfunctional,Domain-Specific / Other,Crossfunctional,2,,hard,Domain-Specific / Other
cryptography,Domain-Specific / Other,Cryptography,2,,hard,Domain-Specific / Other
csa,Domain-Specific / Other,Csa,2,,hard,Domain-Specific / Other
csat,Domain-Specific / Other,Csat,2,,hard,Domain-Specific / Other
csv,Domain-Specific / Other,Csv,2,,hard,Domain-Specific / Other
customer,Domain-Specific / Other,Customer,2,,hard,Domain-Specific / Other
customercentric,Domain-Specific / Other,Customercentric,2,,hard,Domain-Specific / Other
customeroriented,Domain-Specific / Other,Customeroriented,2,,hard,Domain-Specific / Other
customers,Domain-Specific / Other,Customers,2,,hard,Domain-Specific / Other
cyberark,Domain-Specific / Other,Cyberark,2,,hard,Domain-Specific / Other
cycle,Domain-Specific / Other,Cycle,2,,hard,Domain-Specific / Other
cytometry,Domain-Specific / Other,Cytometry,2,,hard,Domain-Specific / Other
cytotechnologist,Domain-Specific / Other,Cytotechnologist,2,,hard,Domain-Specific / Other
dashboards,Domain-Specific / Other,Dashboards,2,,hard,Domain-Specific / Other
data,Domain-Specific / Other,Data,2,,hard,Domain-Specific / Other
database,Domain-Specific / Other,Database,2,,hard,Domain-Specific / Other
databases,Domain-Specific / Other,Databases,2,,hard,Domain-Specific / Other
